,review,sentiments
0,"Situasi kamar cukup lembab, di tembok ada bekas jamur dan bagian kasur cukup basah (lembab) termasuk bantal pun lembab, bagian selimut ada yang sobek. Kondisi perlengkapan mandi kurang memadai sebagai standar hotel bitang 3, perbandingan …",negatif
1,Baru sekali ini ke hotel yang bebas merokok dimana2. Sampe lift nya aja bau rokok. Kamar very poor. Dindingnya udah item2 bulukan. Toilet kit kaya yang ditaro begitu aja. Posisi tv nya aneh. Selimut tipis. Sarung bantal bernoda. Air panas …,positif
2,"Seminggu yang lalu saya pesan kamar yang Deluxe 500.000/malam, Astaga kagetnya bukan Maen harga 500.000/malam kondisi kamar gak layak. Terutama selimut dan lampu diatas kasur mati semua. …",positif
3,"ruangan standar tidak ada yang non smoking room, bau rokok sekali.. tulisannya bintang 3, tapi tidak bintang 2 sekalipun.. tolong diperbaiki rate nya, sesuaikan dengan kenyataan aja.. 🙏🏻😀 sukses terusss …",positif
4,"Service sangat buruk mengecewakan sekali bikin kapok dan gamau balik lagi fitnes di city hotel . Saya lagi ganti baju habis beres gym , penjaga yg disana marah² nyuruh saya dan temen2 lain untuk cepat turun . Posisi blm jam 9 . Tolong pecat penjaga tempat gym nya .kya sampah .",negatif
5,"Kamarnya bener2 ga sesuai dgn digambar. Temboknya lembab, sprei banyak noda jd terlihat kusam. Lantai ngeres krn banyak debunya. Mohon bgt ditingkatkan lg pelayanannya. Tp masih aman sih buat istirahat ya cmn agak ga nyaman aja. Ga ada wifi juga. Semangat",negatif
6,"Di kira fitnes sama kolem renang merupakan fasilitas untuk tamu hotel ternyata bayar, terus gak ada telepon untuk mesen makan atau ngehubungin reseptionis, selimutnya tipis banget, parkiranjuga tidak rapi . Wifi tidak sampe kekamar, tv runyek... Menangdapet sarapan doank",negatif
7,"Sering ke city hotel karena member gym-nya. Gym-nya komplit ,peralatannya bagus dan terawat .setelah selesai dgn gym bisa melepas lelah dekat kolam renangnya. Sambil liat view sekeliling city hotel.mantap..keren",positif
8,"Fasilitas kamar kurang,kamar mandi plafonnya bocor,air hangat hidup sebentar,tv byk semut ny",positif
9,"Enak sebenernya ini hotel, pelayannya polite, tapi pas mandi bau solokan, kirain dr belerang, taunya karena belum dibersihin 😅, tapi besok paginya aman sih, beberapa bagian kamar ada yang retak dan terkelupas, semoga cepat pulih pariwisata indonesia …",positif
10,Kayaknya ni hotel dalam tahap pembenahan. Saya stay di 338. Untuk kopi dan teh tidak tersedia. Lift tamu kecil. Tidak ada arah kiblat buat shalat dalam kamar. Telp dalam kamar juga tidak ada. Untuk water Heater di bathroom berfungsi. Dan …,negatif
11,Over all okay tapi ada catatan utk tembok dan furniture krg diperhatikan dan 3 tahun sy pernah nginap perubahan kamar nga signifikan,positif
12,"Lumayan udah ngga spooky lagi nginep disini, rasa makanannya standar saja. Sarapannya ga banyak variasi nya.",positif
13,makin bagus skrg diperluas sma dperbanyak kamarnya ya apa gmna? Uda lama bgt swimming pool nya blm beres” pdhl paling adem bgt renangnya disini✨,positif
14,Untuk hotel keren masi dalam penambahan bangunan jd makin keren klo dh jadi.. Makanan murah... Akses n pelayanan oke,positif
15,"1. Dinding tembok tdk rapi
2. Wifi tdk jelas
3. Tdk ada pemanas air untuk kopi, dll.",negatif
16,Cukup nyaman untuk istirahat sejenak. Kalau bisa sih Adain sabun hotelnya ya,positif
17,"bekerjalah sesuai aturan yang ada ditmpat anda bekerja , patuhi aturan yang ditetapkan ditempat anda bekerja .
. …",negatif
18,Cukup nyaman dg pelayanan hotel yg menurut saya cukup .,positif
19,"Mungkin standar b3 perlu dievaluasi. Kamar ada laba laba nya, tidak ada kopi,gula,teh dan air panas, atau krna pilih standar room. Tp utk kebersihan dan kenyamanan perlu ditingkatkan",positif
20,"Menginap di kamar 325, sinyal wifi tidak sampai di kamar, pada saat datang air kecil tidak ada air panas, parahnya pagi2 saat mau check out air mati total, akhirnya sebagian mandi di kamar lain & sebagian tidak mandi …",negatif
21,"Pertama kali masuk kamar langsung bau rokok, kamar bersih air hangat nya berfungsi sayang kolam renang dalam renovasi tetapi di pesanan online tdk ada keterangan nya jd anak saya pd kecewa bw baju renang g dipake",negatif
22,Penjaga gym sangat tidak ramah. Tidak nyaman. Kacau balau,negatif
23,"Kamarnya nyaman dan untuk ruangan nya bisa buat meeting, kopdar, workshop dengan fasilitas yang lengkap",positif
24,"Untuk tempat stay sementara ok, kamar kurang bersih, wifi lemah",positif
25,"Saya share untuk tipe kamar standard yah :
1. Khusus untuk kamar 206 harus banyak diperbaiki karena :
A. Air bau dan berbusa …",negatif
26,"Menginap 2 malam disini yang malam 1 lift gak berfungsi, untuk ke kamar di lantai 3 cukup menguras tenaga dengan naik turun tangga yang cukup panjang. Keesokan harinya sudah normal. Kamar standar king yang saya pesan di 212 bagian kamar …",negatif
27,Lumayan lah dengan harga yg di tawarkan.. cukup memuaskan,positif
28,"Kamar yg saya tempati nomor 323, jendela nya rusak, sehingga debu masuk..., Bantal agak bau walaupun sudah ganti sarung bantal …",positif
29,"Kamar bau
Cat tembok banyak hitam2
Atap juga hitam2 …",negatif
30,"dekat dari Pusat Kota (alun alun Kota Tasikmalaya), bisa melihat pemandangan kota Tasikmalaya dari Lantai atas (samping Musola),",positif
31,"Ini bukan rekomendasi hotel di tasikmalaya
Dari pertama masuk kamar terasa lambab , sprei yang seperti belum di ganti (banyak bercak) …",negatif
32,"Kamarnya terlihat sekali kurang dirawat, sprei n bantal pakai kain tipis warna kuning n banyak noda...tapi makanan mantab",positif
33,"First impression...mengecewakan, kenapa ?
Karena kesini niat mau istirahat capek habis business trip... tp ternyata
Kamar kurang bersih.. sprei kasur seperti bekas dipakai orang, ada bau2 yg gatau …",negatif
34,"lokasi mudah di temukan (sesuai dengan maps).
resepsionisnya ramah, breakfast nya enak chef nya ramah, tempat parkir luas dilengkapi CCTV, satpam nya ramah, kamarnya lengkapi Ac dan pengharum ruangan, kamar …",positif
35,"Not recommend banget stay disini.
Telepon hotel ga pernah bisa nyambung.
Dan halo? Week end, dimana banyak tamu, perlu yang namanya sewa tukang untuk …",positif
36,"Kesini hari minggu, sendirian business trip, cari hotel murah. Niat mau istirahat: …",positif
37,"Enak, cuman sayang alat gym nya minim",positif
38,"HOTELNYA KUMUH!! BARU DI LIFT SAJA SUDAH BAU APEK. KAMARNYA PENGGAP BANGET BAU ROKOK ATAPNYA SUDAH MAU RUBUH, BEKAS TAMBALAN TEMBOKNYA NGGA DI RAPIKAN. REMOT TV NGGA BISA DI PAKAI, HANDUKNYA KUMAL, SPREI DAN SELIMUTNYA BAU!! SANGAT KUMUH DAN JOROK BANGET👎🏻👎🏻👎🏻👎🏻👎🏻 …",negatif
39,"Pelayanan super Ramah,Team Sekuriti Sangat Sigap Membantu Tamu dengan sangat Baik jg Komitmen tinggi,tetapi tempat Drop off,masih sempit untuk jalur Offline dan Online,Space Parkir di dalam lumayan Luas,dan tolong diperhatikan masalah sampah-sampah yang masih berserakan di area Hotel.",positif
40,"kamar banyak yg retak,eternit dpn kamar kayak.sudah mau roboh,sprei dan selimut kotor dan juga bolong ttp d pasang.tolong service d tingkatkan...",negatif
41,"Kamar bersih, privasi aman, pelayanan ramah, ada kolam renang dan tempat gym...Kebetulan saya jual VITAMALE obat kuat pria original harga murah,,,WA 0812-1185-6215",positif
42,"26-27 Januari 2022 niatnya mau pesen buat 3mlm dari jakarta 7jam perjalanan, alhasil gajadi karna jadwal check-in dari hotel sblmnya sudah disetujui.. Pertama masuk emm lumayan lahh enak, nuansanya bagus sihh jujur, cmn niii KAMAR KOTOR, …",positif
43,Perlu ditingkatkan kebersihan hotel rajin dibersihkan.,negatif
44,"Bagus, pegawainya ramah ramah, bersih, rapih, and than balkon nya bagus banget, hotel ternyaman sih menurut saya, bisa ke balkonnya, ada gym juga sama kolam renang",positif
45,"First impressionnya, buruk sekali saya rasa 😑 untuk kebersihan dikamarnya kurang, saya dapat kamar yang sprei & selimutnya sudah bau apek. Handuk mandi yang sudah robek-robek pinggirnya 😌 tidak ada pemanas air teh/kopi, untuk waterheaternya …",negatif
46,"First impressionnya ""hotel kok gini""
Maksud hati menginap di hotel itu mencari kenyaman untuk beristirahat.
Saya dpt kamar standart room. Begitu masuk kamar, aroma yang tercium adalah …",positif
47,Utk sekelas hotel masih perlu banyak pembenahan,negatif
48,Kamar kurang bersih. Banyak debuuuuu,positif
49,"Dapet hotel ini go show alias dadakan aja, kebetulan lagi ada acara di tasik..
Ke sini pas weekend, kamarnya pada penuh jd dapetnya kamar yg 650 rb.. …",positif
50,"Bantal berjamur, sarung bantal dekil banyak bekas iler, sprei kucel, Wifi cuma pake repeater konek di bawah alat wifi nya aja gk konek apalagi dalem kamar, sinyal hp sekelas telkomsel aja tipis. Ini hotel bintang 2 bukan bintang, lebih bersih oyo",negatif
51,"Cukup nyaman dengan harga yg relatif murah.. pelayanan juga ramah. Fasilitas lift dan parkir juga cukup baik.
Kamar kurang kedap suara dengan detailing yang tak terawat, mungkin karna efek pandemi yg berkepanjangan hingga perawatan property kurang baik.",positif
52,"Pertama checkin resepsionist disibukan dengan owner atau atasannya sehingga ga fokus sama konsumen, jam 9mlm lift ga bisa dipakai dan ada live music yg kedengeran sampai kamar (mengganggu bagi yg mau istirahat), terbangun krn kepanasan krn …",negatif
53,"Harga terjangkau, yaa kamar standar hanya saja pas ke kolam harus beli lagi tiket. Dan kolam nya pas sya agak kotor. Untuk yg lainn, oke",positif
54,"Pelayanan tidak ramah, hotel kotor, kamar mandi tidak ada penutup seperti hotel lainnya, handuk kasar, tidak ada teko pemanas air, tidak ada kulkas dan sarapan hanya ada 1 macam dan harga sama dengan hotel lainnya yg memiliki keramahan dan …",negatif
55,"Hotel ramah pi suasananya terasa biasa, sarapan terkesan dipaksakan tidak ada yang menarik, apalagi diluar jendela malah gang berseliweran pekerja bangunan, kok bisa ya jendela luar itu gang dan orang2 berseliweran diluar jendela kamar hotel",positif
56,"Ko saya ngerasa d mainin ya sama receptionis nya,dari kemarin pindah"" terus,sekarang mau extend harus pindah kamar.gk bisa d kamar yg tetap.padahal saya sama"" bayar.",negatif
57,Sangat strategis tempatnya dan punya meeting room yg lumayan bagus ...cmn sayang toiletnya tidak terjaga dgn baik .. kotor dan tidak ada disposal binnya .. tidak ada tissue dan tidak ada sabunnya,positif
58,"Saat panggiln mjit kesini tmptnya nyaman & aman, barangkali ada yg minat d pijit bisa hubungi kami 082216175479, trima pijt pria&wanita trapis pria, trmksh",positif
